Наименование вакансии,Минимальная зарплата,Максимальная зарплата,Валюта,Ссылка на вакансию
"Инженер-программист Python",None,None,None,https://hh.ru/vacancy/45398264
"Веб-разработчик Python",120000.0,150000.0,руб.,https://hh.ru/vacancy/47803565
"Программист Python + Go",None,None,None,https://hh.ru/vacancy/47740522
"Ведущий разработчик Python",None,None,None,https://hh.ru/vacancy/44013948
"Python-разработчик/Senior Python-разработчик",None,None,None,https://hh.ru/vacancy/44790039
"Senior Python Developer",None,None,None,https://hh.ru/vacancy/44878097
"Python Developer",None,None,None,https://hh.ru/vacancy/47735678
"Python программист (MaxPatrol 10)",None,None,None,https://hh.ru/vacancy/47729075
"Ведущий Python разработчик",None,None,None,https://hh.ru/vacancy/47966787
"Python Developer",None,None,None,https://hh.ru/vacancy/47897062
"Senior Python разработчик",None,350000.0,руб.,https://hh.ru/vacancy/47934541
"Python Developer",None,None,None,https://hh.ru/vacancy/43910922
"Старший python разработчик",None,None,None,https://hh.ru/vacancy/47966813
"Data Engineer",None,None,None,https://hh.ru/vacancy/47159731
"Manual QA Engineer ‎(World of Tanks Blitz)‎",None,None,None,https://hh.ru/vacancy/46127413
"QA специалист в команду Биллинга",150000.0,None,руб.,https://hh.ru/vacancy/47251783
"DBA Engineer (PostgreSQL)",None,None,None,https://hh.ru/vacancy/48434289
"Специалист по тестированию",150000.0,None,руб.,https://hh.ru/vacancy/40585500
"Dev-ops инженер",None,None,None,https://hh.ru/vacancy/47644069
"Game Analyst (World Of Tanks Blitz)",None,None,None,https://hh.ru/vacancy/47048268
"Middle / Senior Machine Learning Engineer",None,None,None,https://hh.ru/vacancy/48419707
"Backend - разработчик",270000.0,None,руб.,https://hh.ru/vacancy/48099539
"Information Security Engineer",None,None,None,https://hh.ru/vacancy/45433121
"Senior/Lead Product Analyst",None,None,None,https://hh.ru/vacancy/48420256
"Системный аналитик",None,None,None,https://hh.ru/vacancy/48407226
"Разработчик .NET (C#)",180000.0,None,руб.,https://hh.ru/vacancy/46783282
"CRM-маркетолог/Email-маркетолог",None,None,None,https://hh.ru/vacancy/48081263
"Разработчик Python (Junior)",None,None,None,https://hh.ru/vacancy/48361728
"Разработчик Python (Junior)",80000.0,None,руб.,https://hh.ru/vacancy/48249561
"Junior Python Developer",None,None,None,https://hh.ru/vacancy/48500526
"Стажер-разработчик бэкенда (Python)",None,None,None,https://hh.ru/vacancy/48502238
"Разработчик Python",None,None,None,https://hh.ru/vacancy/47679779
