Наименование вакансии,Минимальная зарплата,Максимальная зарплата,Валюта,Ссылка на вакансию
"PostgreSQL DBA (Database Administrator)",None,None,None,https://hh.ru/vacancy/42815531
"R&D: Cистемный администратор Linux",200000.0,None,руб.,https://hh.ru/vacancy/46230187
"Проверяющий преподаватель по курсу "Специалист по кибербезопасности"",None,None,None,https://hh.ru/vacancy/48533311
"Product analyst/Аналитик продукта",None,None,None,https://hh.ru/vacancy/48543498
"Системный администратор",80000.0,120000.0,руб.,https://hh.ru/vacancy/48440033
"Системный аналитик / Аналитик BI",None,180000.0,руб.,https://hh.ru/vacancy/48477947
"Linux Kernel Developer",None,None,None,https://hh.ru/vacancy/48213379
"BI Developer",None,None,None,https://hh.ru/vacancy/48327135
"Системный администратор / devops-инженер",None,None,None,https://hh.ru/vacancy/45620450
"Системный аналитик/Аналитик BI",None,None,None,https://hh.ru/vacancy/47951643
"Product Analyst в International",None,None,None,https://hh.ru/vacancy/48023861
"DevOps инженер",None,None,None,https://hh.ru/vacancy/48485751
"Инженер по автотестированию",None,None,None,https://hh.ru/vacancy/46381252
"Руководитель разработки DWH (SQL)",None,None,None,https://hh.ru/vacancy/47856544
"QA Engineer Automation",None,None,None,https://hh.ru/vacancy/48484488
"QA-инженер/тестировщик",None,None,None,https://hh.ru/vacancy/48523519
"QA Engineer (Web)",None,None,None,https://hh.ru/vacancy/47123815
"Системный аналитик (аналитик DWH)",None,None,None,https://hh.ru/vacancy/38322265
"Инженер по защите платформ контейнеризации",None,None,None,https://hh.ru/vacancy/48492410
"Инженер-разработчик РЭА",None,None,None,https://hh.ru/vacancy/48441628
"Senior Software Engineer",None,None,None,https://hh.ru/vacancy/48184204
"Системный аналитик",None,None,None,https://hh.ru/vacancy/47976906
"Junior Analyst BI",80000.0,120000.0,руб.,https://hh.ru/vacancy/48534487
"DevOps (Release Engineer)",None,None,None,https://hh.ru/vacancy/46100320
"Senior Frontend developer",250000.0,None,руб.,https://hh.ru/vacancy/48012593
"Junior/Middle/Senior Golang Developer",None,None,None,https://hh.ru/vacancy/47722398
"Старший риск - аналитик",None,None,None,https://hh.ru/vacancy/44903435
"Frontend-разработчик (Браузер)",None,None,None,https://hh.ru/vacancy/48536632
"DevOps инженер",None,None,None,https://hh.ru/vacancy/48521601
"Ведущий инженер разработчик С++",None,None,None,https://hh.ru/vacancy/46350412
"Системный администратор Linux c элементами DevOps",None,None,None,https://hh.ru/vacancy/46597748
"Аналитик BI",None,None,None,https://hh.ru/vacancy/43370298
"DevOps/Unix системный администратор (MY.GAMES)",None,None,None,https://hh.ru/vacancy/44945501
"Разработчик-аналитик Tableau в Маркет",None,None,None,https://hh.ru/vacancy/44090222
"Senior DevOps Engineer (Delivery Team Lead)",None,None,None,https://hh.ru/vacancy/45742497
"Senior IOS developer продукт VSaaS (MTS AI)",None,None,None,https://hh.ru/vacancy/48583791
"Speech and Natural Language Processing Research Engineer (NLP)",None,None,None,https://hh.ru/vacancy/47697332
"Full-stack разработчик",None,None,None,https://hh.ru/vacancy/42631036
"Разработчик встраиваемых систем",150000.0,200000.0,руб.,https://hh.ru/vacancy/48478396
"Инженер по нагрузочному тестированию (проект SberID)",None,None,None,https://hh.ru/vacancy/48495373
"Middle FrontEnd Developer (Remote)",150000.0,200000.0,руб.,https://hh.ru/vacancy/48141291
"Продуктовый аналитик в Самокат Про",None,None,None,https://hh.ru/vacancy/47324163
"Automation expert",None,None,None,https://hh.ru/vacancy/46410915
"Fronted-разработчик",150000.0,None,руб.,https://hh.ru/vacancy/41703988
"Web-аналитик",None,None,None,https://hh.ru/vacancy/46984693
"Аналитик данных / интернет-маркетинг",None,None,None,https://hh.ru/vacancy/47790693
"Преподаватель по программированию для детей и подростков",None,None,None,https://hh.ru/vacancy/48537024
"Инженер по данным (Дата-инженер)",None,None,None,https://hh.ru/vacancy/42835759
"AI Video Codec Engineer",None,None,None,https://hh.ru/vacancy/48495929
"DWH: Главный разработчик",None,None,None,https://hh.ru/vacancy/38407325
"Data engineer (Трансформация инвестиционного бизнеса)",None,None,None,https://hh.ru/vacancy/47465538
"Системный аналитик DWH в Маркет",None,None,None,https://hh.ru/vacancy/42562711
"Исследователь кода (НДВ)",None,None,None,https://hh.ru/vacancy/42935246
"Аналитик BI",None,None,None,https://hh.ru/vacancy/48497579
"Platform Engineer",250000.0,None,руб.,https://hh.ru/vacancy/45252447
"Team Lead / Руководитель команды разработчиков (релокация в Вологду)",None,None,None,https://hh.ru/vacancy/48479532
"Software Architect",180000.0,None,руб.,https://hh.ru/vacancy/48588119
"Системный администратор Linux (Управление сопровождения корпоративной аналитической платформы)",None,None,None,https://hh.ru/vacancy/47772084
"DevOps-инженер (Системный администратор Linux)",None,None,None,https://hh.ru/vacancy/47058405
"Marketing Analyst",180000.0,None,руб.,https://hh.ru/vacancy/48304118
"Senior QA Engineer",None,None,None,https://hh.ru/vacancy/48025118
"Head of Backend / Tech Lead",350000.0,450000.0,руб.,https://hh.ru/vacancy/48589437
"Инженер-программист 2 категории по информационной безопасности (MIDDLE)",100000.0,None,руб.,https://hh.ru/vacancy/43517556
"Full-stack разработчик",None,None,None,https://hh.ru/vacancy/42631036
"Специалист по тестированию",None,None,None,https://hh.ru/vacancy/48553804
"Product Analyst",None,None,None,https://hh.ru/vacancy/42134089
"Старший исследователь больших данных",None,None,None,https://hh.ru/vacancy/48500420
"Системный администратор Linux",None,None,None,https://hh.ru/vacancy/48584623
"Аналитик / Специалист по обработке данных (DP, Market Research)",30000.0,50000.0,руб.,https://hh.ru/vacancy/47300614
"Linux инженер (SberDevices)",None,None,None,https://hh.ru/vacancy/39452620
"Junior/Middle Product Analyst",None,None,None,https://hh.ru/vacancy/48492465
"Исследователь UEFI/BIOS",None,None,None,https://hh.ru/vacancy/42935136
"Системный аналитик DWH в Маркет",None,None,None,https://hh.ru/vacancy/42562711
"R&D: Senior → Tech Lead DevOps",250000.0,None,руб.,https://hh.ru/vacancy/46663641
"Главный инженер по разработке (Devops инженер)",None,None,None,https://hh.ru/vacancy/47938410
"DWH: Главный разработчик",None,None,None,https://hh.ru/vacancy/38407325
"Системный администратор/DevOps инженер",None,None,None,https://hh.ru/vacancy/47324760
"Ведущий инженер по нагрузочному тестированию",None,None,None,https://hh.ru/vacancy/48549167
"Бизнес-аналитик",100000.0,None,руб.,https://hh.ru/vacancy/47873998
"Big Data Solution Architect",None,None,None,https://hh.ru/vacancy/46212748
"Продуктовый аналитик",None,None,None,https://hh.ru/vacancy/45935104
"Старший аналитик",140000.0,200000.0,руб.,https://hh.ru/vacancy/48479037
"Аналитик-психометрик",None,None,None,https://hh.ru/vacancy/47057122
"Системный администратор Unix",None,None,None,https://hh.ru/vacancy/47793829
"Internal Services Administrator (Linux)",None,None,None,https://hh.ru/vacancy/45984248
"Исследователь кода (НДВ)",None,None,None,https://hh.ru/vacancy/42935246
"Java Разработчик (Умный Дом)",None,None,None,https://hh.ru/vacancy/48547310
"QA engineer",None,None,None,https://hh.ru/vacancy/45781809
"Web - аналитик",None,None,None,https://hh.ru/vacancy/44313123
"Старший Web-аналитик",None,None,None,https://hh.ru/vacancy/46984712
"Аналитик по информационной безопасности (удаленно)",100000.0,None,руб.,https://hh.ru/vacancy/47735198
"Senior Marketing Analyst",4000.0,4500.0,USD,https://hh.ru/vacancy/47748913
"Старший QA-инженер",None,None,None,https://hh.ru/vacancy/46666220
"Java developer (Виртуальный ассистент КБ)",None,None,None,https://hh.ru/vacancy/46241767
"Старший QA-инженер",None,None,None,https://hh.ru/vacancy/46312546
"Middle/Senior Unity Developer",150000.0,200000.0,руб.,https://hh.ru/vacancy/48357049
"Ведущий эксперт (backend)",None,None,None,https://hh.ru/vacancy/48541279
"Системный инженер",98000.0,None,руб.,https://hh.ru/vacancy/48250653
"Аналитик (направление речевых технологий)",None,None,None,https://hh.ru/vacancy/45782171
"Инженер сопровождения тестовых сред",None,None,None,https://hh.ru/vacancy/46417675
"Chief Data officer",None,None,None,https://hh.ru/vacancy/47653272
"IT Recruiter (удаленно)",None,None,None,https://hh.ru/vacancy/47809528
"Системный администратор Linux",None,None,None,https://hh.ru/vacancy/45973574
"Экономист-математик (исследование государственных закупок)",70000.0,140000.0,руб.,https://hh.ru/vacancy/48142928
"IT Engineering Manager (Relocation)",4000.0,7000.0,USD,https://hh.ru/vacancy/48223738
"OAM: Системный администратор Linux",150000.0,180000.0,руб.,https://hh.ru/vacancy/40716856
"Системный инженер Linux / DevOPS",None,None,None,https://hh.ru/vacancy/47133727
"Системный администратор Linux",None,None,None,https://hh.ru/vacancy/48484910
"Аналитик",None,60000.0,руб.,https://hh.ru/vacancy/48319762
"Junior GPU Performance Engineer",None,None,None,https://hh.ru/vacancy/44952669
"Аналитик по рискам / Портфельный аналитик",None,None,None,https://hh.ru/vacancy/47806560
"Системный аналитик",None,None,None,https://hh.ru/vacancy/47473654
"Product Analyst (Driver App) / Продуктовый аналитик",None,None,None,https://hh.ru/vacancy/47773782
